"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion/Narrative Review","Type Bucket -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"1169","Y Ling, SB Xu, YX Lin, D Tian, ZQ Zhu, FH Dai, F Wu, ZG Song, W Huang, J Chen, BJ Hu, S Wang, EQ Mao, L Zhu, WH Zhang, HZ Lu","Persistence and clearance of viral RNA in 2019 novel coronavirus disease rehabilitation patients.","BACKGROUND: A patient's infectivity is determined by the presence of the virus in different body fluids, secretions, and excreta. The persistence and clearance of viral RNA from different specimens of patients with 2019 novel coronavirus disease (COVID-19) remain unclear. This study analyzed the clearance time and factors influencing 2019 novel coronavirus (2019-nCoV) RNA in different samples from patients with COVID-19, providing further evidence to improve the management of patients during convalescence.  METHODS: The clinical data and laboratory test results of convalescent patients with COVID-19 who were admitted to from January 20, 2020 to February 10, 2020 were collected retrospectively. The reverse transcription polymerase chain reaction (RT-PCR) results for patients' oropharyngeal swab, stool, urine, and serum samples were collected and analyzed. Convalescent patients refer to recovered non-febrile patients without respiratory symptoms who had two successive (minimum 24 h sampling interval) negative RT-PCR results for viral RNA from oropharyngeal swabs. The effects of cluster of differentiation 4 (CD4)+ T lymphocytes, inflammatory indicators, and glucocorticoid treatment on viral nucleic acid clearance were analyzed.  RESULTS: In the 292 confirmed cases, 66 patients recovered after treatment and were included in our study. In total, 28 (42.4%) women and 38 men (57.6%) with a median age of 44.0 (34.0-62.0) years were analyzed. After in-hospital treatment, patients' inflammatory indicators decreased with improved clinical condition. The median time from the onset of symptoms to first negative RT-PCR results for oropharyngeal swabs in convalescent patients was 9.5 (6.0-11.0) days. By February 10, 2020, 11 convalescent patients (16.7%) still tested positive for viral RNA from stool specimens and the other 55 patients' stool specimens were negative for 2019-nCoV following a median duration of 11.0 (9.0-16.0) days after symptom onset. Among these 55 patients, 43 had a longer duration until stool specimens were negative for viral RNA than for throat swabs, with a median delay of 2.0 (1.0-4.0) days. Results for only four (6.9%) urine samples were positive for viral nucleic acid out of 58 cases; viral RNA was still present in three patients' urine specimens after throat swabs were negative. Using a multiple linear regression model (F = 2.669, P = 0.044, and adjusted R = 0.122), the analysis showed that the CD4+ T lymphocyte count may help predict the duration of viral RNA detection in patients' stools (t = -2.699, P = 0.010). The duration of viral RNA detection from oropharyngeal swabs and fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (15 days vs. 8.0 days, respectively; t = 2.550, P = 0.013) and the duration of viral RNA detection in fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (20 days vs. 11 days, respectively; t = 4.631, P < 0.001). There was no statistically significant difference in inflammatory indicators between patients with positive fecal viral RNA test results and those with negative results (P > 0.05).  CONCLUSIONS: In brief, as the clearance of viral RNA in patients' stools was delayed compared to that in oropharyngeal swabs, it is important to identify viral RNA in feces during convalescence. Because of the delayed clearance of viral RNA in the glucocorticoid treatment group, glucocorticoids are not recommended in the treatment of COVID-19, especially for mild disease. The duration of RNA detection may relate to host cell immunity.  ","Feb 2020","Chinese medical journal","32118639","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies","Case report",,,,,,"Yes",
"1169","Y Ling, SB Xu, YX Lin, D Tian, ZQ Zhu, FH Dai, F Wu, ZG Song, W Huang, J Chen, BJ Hu, S Wang, EQ Mao, L Zhu, WH Zhang, HZ Lu","Persistence and clearance of viral RNA in 2019 novel coronavirus disease rehabilitation patients.","BACKGROUND: A patient's infectivity is determined by the presence of the virus in different body fluids, secretions, and excreta. The persistence and clearance of viral RNA from different specimens of patients with 2019 novel coronavirus disease (COVID-19) remain unclear. This study analyzed the clearance time and factors influencing 2019 novel coronavirus (2019-nCoV) RNA in different samples from patients with COVID-19, providing further evidence to improve the management of patients during convalescence.  METHODS: The clinical data and laboratory test results of convalescent patients with COVID-19 who were admitted to from January 20, 2020 to February 10, 2020 were collected retrospectively. The reverse transcription polymerase chain reaction (RT-PCR) results for patients' oropharyngeal swab, stool, urine, and serum samples were collected and analyzed. Convalescent patients refer to recovered non-febrile patients without respiratory symptoms who had two successive (minimum 24 h sampling interval) negative RT-PCR results for viral RNA from oropharyngeal swabs. The effects of cluster of differentiation 4 (CD4)+ T lymphocytes, inflammatory indicators, and glucocorticoid treatment on viral nucleic acid clearance were analyzed.  RESULTS: In the 292 confirmed cases, 66 patients recovered after treatment and were included in our study. In total, 28 (42.4%) women and 38 men (57.6%) with a median age of 44.0 (34.0-62.0) years were analyzed. After in-hospital treatment, patients' inflammatory indicators decreased with improved clinical condition. The median time from the onset of symptoms to first negative RT-PCR results for oropharyngeal swabs in convalescent patients was 9.5 (6.0-11.0) days. By February 10, 2020, 11 convalescent patients (16.7%) still tested positive for viral RNA from stool specimens and the other 55 patients' stool specimens were negative for 2019-nCoV following a median duration of 11.0 (9.0-16.0) days after symptom onset. Among these 55 patients, 43 had a longer duration until stool specimens were negative for viral RNA than for throat swabs, with a median delay of 2.0 (1.0-4.0) days. Results for only four (6.9%) urine samples were positive for viral nucleic acid out of 58 cases; viral RNA was still present in three patients' urine specimens after throat swabs were negative. Using a multiple linear regression model (F = 2.669, P = 0.044, and adjusted R = 0.122), the analysis showed that the CD4+ T lymphocyte count may help predict the duration of viral RNA detection in patients' stools (t = -2.699, P = 0.010). The duration of viral RNA detection from oropharyngeal swabs and fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (15 days vs. 8.0 days, respectively; t = 2.550, P = 0.013) and the duration of viral RNA detection in fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (20 days vs. 11 days, respectively; t = 4.631, P < 0.001). There was no statistically significant difference in inflammatory indicators between patients with positive fecal viral RNA test results and those with negative results (P > 0.05).  CONCLUSIONS: In brief, as the clearance of viral RNA in patients' stools was delayed compared to that in oropharyngeal swabs, it is important to identify viral RNA in feces during convalescence. Because of the delayed clearance of viral RNA in the glucocorticoid treatment group, glucocorticoids are not recommended in the treatment of COVID-19, especially for mild disease. The duration of RNA detection may relate to host cell immunity.  ","Feb 2020","Chinese medical journal","32118639","Meghanglibbery","1","Yes","Case Series/Report",,,,,,,,"General",,,,"Immunology",,,,,,,,,,,,"Public Health",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,"Yes",
"1170","K Li, J Wu, F Wu, D Guo, L Chen, Z Fang, C Li","The Clinical and Chest CT Features Associated with Severe and Critical COVID-19 Pneumonia.","OBJECTIVE: To investigate the clinical and CT features associated with severe and critical Corona Virus Disease 2019 (COVID-19) pneumonia.  MATERIALS AND METHODS: Eighty-three patients with COVID-19 pneumonia including 25 severe/critical cases and 58 ordinary cases were enrolled. The chest CT images and clinical data of them were reviewed and compared. The risk factors associated with disease severity were analyzed.  RESULTS: Compared with the ordinary patients, the severe/critical patients had older ages, higher incidence of comorbidities, cough, expectoration, chest pain and dyspnea. The incidences of consolidation, linear opacities, crazy-paving pattern and bronchial wall thickening in severe/critical patients were significantly higher than those of the ordinary patients. Besides, severe/critical patients showed higher incidences of lymph node enlargement, pericardial effusion and pleural effusion than the ordinary patients. The CT scores of severe/critical patients were significantly higher than those of the ordinary patients (P < 0.001). Receiver operating characteristic (ROC) curve showed that the sensitivity and specificity of CT Score were 80.0% and 82.8% respectively for the discrimination of the two types. The clinical factors of age > 50 years old, comorbidities, dyspnea, chest pain, cough, expectoration, decreased lymphocytes and increased inflammation indicators were risk factors for severe/critical COVID-19 pneumonia. CT findings of consolidation, linear opacities, crazy-paving pattern, bronchial wall thickening, high CT scores and extrapulmonary lesions were features of severe/critical COVID-19 pneumonia.  CONCLUSIONS: There are significant differences in clinical symptoms, laboratory examinations and CT manifestations between the ordinary patients and the severe/critical patients. Many factors are related to the severity of the disease, which can help clinicians to judge the severity of the patient and evaluate the prognosis.  ","Feb 2020","Investigative radiology","32118615","kearneh","1","Yes","Cohort Studies",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies","Case report",,,"Imaging studies",,,"Yes",
"1170","K Li, J Wu, F Wu, D Guo, L Chen, Z Fang, C Li","The Clinical and Chest CT Features Associated with Severe and Critical COVID-19 Pneumonia.","OBJECTIVE: To investigate the clinical and CT features associated with severe and critical Corona Virus Disease 2019 (COVID-19) pneumonia.  MATERIALS AND METHODS: Eighty-three patients with COVID-19 pneumonia including 25 severe/critical cases and 58 ordinary cases were enrolled. The chest CT images and clinical data of them were reviewed and compared. The risk factors associated with disease severity were analyzed.  RESULTS: Compared with the ordinary patients, the severe/critical patients had older ages, higher incidence of comorbidities, cough, expectoration, chest pain and dyspnea. The incidences of consolidation, linear opacities, crazy-paving pattern and bronchial wall thickening in severe/critical patients were significantly higher than those of the ordinary patients. Besides, severe/critical patients showed higher incidences of lymph node enlargement, pericardial effusion and pleural effusion than the ordinary patients. The CT scores of severe/critical patients were significantly higher than those of the ordinary patients (P < 0.001). Receiver operating characteristic (ROC) curve showed that the sensitivity and specificity of CT Score were 80.0% and 82.8% respectively for the discrimination of the two types. The clinical factors of age > 50 years old, comorbidities, dyspnea, chest pain, cough, expectoration, decreased lymphocytes and increased inflammation indicators were risk factors for severe/critical COVID-19 pneumonia. CT findings of consolidation, linear opacities, crazy-paving pattern, bronchial wall thickening, high CT scores and extrapulmonary lesions were features of severe/critical COVID-19 pneumonia.  CONCLUSIONS: There are significant differences in clinical symptoms, laboratory examinations and CT manifestations between the ordinary patients and the severe/critical patients. Many factors are related to the severity of the disease, which can help clinicians to judge the severity of the patient and evaluate the prognosis.  ","Feb 2020","Investigative radiology","32118615","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,"General",,"ICU",,,,,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,"Yes",
"1181","Q Lu, Y Shi","Coronavirus disease (COVID-19) and neonate: What neonatologist need to know.","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) cause china epidemics with high morbidity and mortality, the infection has been transmitted to other countries. About three neonates and more than 230 children cases are reported. The disease condition of the main children was mild. There is currently no evidence that SARS-CoV-2 can be transmitted transplacentally from mother to the newborn. The treatment strategy for children with Coronavirus disease (COVID-19) is based on adult experience. Thus far, no deaths have been reported in the pediatric age group. This review describes the current understanding of COVID-19 infection in newborns and children.  ","Mar 2020","Journal of medical virology","32115733","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,"Pediatrics",,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"1181","Q Lu, Y Shi","Coronavirus disease (COVID-19) and neonate: What neonatologist need to know.","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) cause china epidemics with high morbidity and mortality, the infection has been transmitted to other countries. About three neonates and more than 230 children cases are reported. The disease condition of the main children was mild. There is currently no evidence that SARS-CoV-2 can be transmitted transplacentally from mother to the newborn. The treatment strategy for children with Coronavirus disease (COVID-19) is based on adult experience. Thus far, no deaths have been reported in the pediatric age group. This review describes the current understanding of COVID-19 infection in newborns and children.  ","Mar 2020","Journal of medical virology","32115733","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,"Pediatrics",,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"1183","PWH Peng, PL Ho, SS Hota","Outbreak of a new coronavirus: what anaesthetists should know.",,"Feb 2020","British journal of anaesthesia","32115186","kearneh","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"1183","PWH Peng, PL Ho, SS Hota","Outbreak of a new coronavirus: what anaesthetists should know.",,"Feb 2020","British journal of anaesthesia","32115186","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"1189","C Xie, L Jiang, G Huang, H Pu, B Gong, H Lin, S Ma, X Chen, B Long, G Si, H Yu, L Jiang, X Yang, Y Shi, Z Yang","Comparison of different samples for 2019 novel coronavirus detection by nucleic acid amplification tests.","An ongoing outbreak of severe respiratory pneumonia associated with the 2019 novel coronavirus has recently emerged in China. Here we report the epidemiological, clinical, laboratory and radiological characteristics of 19 suspect cases. We compared the positive ratio of 2019-nCoV nucleic acid amplification test results from different samples including oropharyngeal swab, blood, urine and stool with 3 different fluorescent RT-PCR kits. Nine out of the 19 patients had 2019-nCoV infection detected using oropharyngeal swab samples, and the virus nucleic acid was also detected in eight of these nine patients using stool samples. None of positive results was identified in the blood and urine samples. These three different kits got the same result for each sample and the positive ratio of nucleic acid detection for 2019-nCoV was only 47.4% in the suspect patients. Therefore, it is possible that infected patients have been missed by using nucleic acid detection only. It might be better to make a diagnosis combining the computed tomography scans and nucleic acid detection.  ","Feb 2020","International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","32114193","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,"Public Health",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,"Yes",
"1189","C Xie, L Jiang, G Huang, H Pu, B Gong, H Lin, S Ma, X Chen, B Long, G Si, H Yu, L Jiang, X Yang, Y Shi, Z Yang","Comparison of different samples for 2019 novel coronavirus detection by nucleic acid amplification tests.","An ongoing outbreak of severe respiratory pneumonia associated with the 2019 novel coronavirus has recently emerged in China. Here we report the epidemiological, clinical, laboratory and radiological characteristics of 19 suspect cases. We compared the positive ratio of 2019-nCoV nucleic acid amplification test results from different samples including oropharyngeal swab, blood, urine and stool with 3 different fluorescent RT-PCR kits. Nine out of the 19 patients had 2019-nCoV infection detected using oropharyngeal swab samples, and the virus nucleic acid was also detected in eight of these nine patients using stool samples. None of positive results was identified in the blood and urine samples. These three different kits got the same result for each sample and the positive ratio of nucleic acid detection for 2019-nCoV was only 47.4% in the suspect patients. Therefore, it is possible that infected patients have been missed by using nucleic acid detection only. It might be better to make a diagnosis combining the computed tomography scans and nucleic acid detection.  ","Feb 2020","International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","32114193","Meghanglibbery","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Imaging studies",,,"Yes",
"1190","S Tian, W Hu, L Niu, H Liu, H Xu, SY Xiao","Pulmonary Pathology of Early-Phase 2019 Novel Coronavirus (COVID-19) Pneumonia in Two Patients With Lung Cancer.","There is currently a lack of pathologic data on the novel coronavirus (severe acute respiratory syndrome coronavirus 2) pneumonia, or coronavirus disease 2019 (COVID-19), from autopsy or biopsy. Two patients who recently underwent lung lobectomies for adenocarcinoma were retrospectively found to have had COVID-19 at the time of the operation. These two cases thus provide important first opportunities to study the pathology of COVID-19. Pathologic examinations revealed that apart from the tumors, the lungs of both patients exhibited edema, proteinaceous exudate, focal reactive hyperplasia of pneumocytes with patchy inflammatory cellular infiltration, and multinucleated giant cells. Hyaline membranes were not prominent. Because both patients did not exhibit symptoms of pneumonia at the time of operation, these changes likely represent an early phase of the lung pathology of COVID-19 pneumonia.  ","Feb 2020","Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer","32114094","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,,,"Respirology",,,,,,,,,"Case report",,,,,,"Yes",
"1190","S Tian, W Hu, L Niu, H Liu, H Xu, SY Xiao","Pulmonary Pathology of Early-Phase 2019 Novel Coronavirus (COVID-19) Pneumonia in Two Patients With Lung Cancer.","There is currently a lack of pathologic data on the novel coronavirus (severe acute respiratory syndrome coronavirus 2) pneumonia, or coronavirus disease 2019 (COVID-19), from autopsy or biopsy. Two patients who recently underwent lung lobectomies for adenocarcinoma were retrospectively found to have had COVID-19 at the time of the operation. These two cases thus provide important first opportunities to study the pathology of COVID-19. Pathologic examinations revealed that apart from the tumors, the lungs of both patients exhibited edema, proteinaceous exudate, focal reactive hyperplasia of pneumocytes with patchy inflammatory cellular infiltration, and multinucleated giant cells. Hyaline membranes were not prominent. Because both patients did not exhibit symptoms of pneumonia at the time of operation, these changes likely represent an early phase of the lung pathology of COVID-19 pneumonia.  ","Feb 2020","Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer","32114094","Meghanglibbery","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,"Oncology",,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"1196","DH Zhang, KL Wu, X Zhang, SQ Deng, B Peng","In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus.","OBJECTIVE: In this study we execute a rational screen to identify Chinese medical herbs that are commonly used in treating viral respiratory infections and also contain compounds that might directly inhibit 2019 novel coronavirus (2019-nCoV), an ongoing novel coronavirus that causes pneumonia.  METHODS: There were two main steps in the screening process. In the first step we conducted a literature search for natural compounds that had been biologically confirmed as against sever acute respiratory syndrome coronavirus or Middle East respiratory syndrome coronavirus. Resulting compounds were cross-checked for listing in the Traditional Chinese Medicine Systems Pharmacology Database. Compounds meeting both requirements were subjected to absorption, distribution, metabolism and excretion (ADME) evaluation to verify that oral administration would be effective. Next, a docking analysis was used to test whether the compound had the potential for direct 2019-nCoV protein interaction. In the second step we searched Chinese herbal databases to identify plants containing the selected compounds. Plants containing 2 or more of the compounds identified in our screen were then checked against the catalogue for classic herbal usage. Finally, network pharmacology analysis was used to predict the general in vivo effects of each selected herb.  RESULTS: Of the natural compounds screened, 13 that exist in traditional Chinese medicines were also found to have potential anti-2019-nCoV activity. Further, 125 Chinese herbs were found to contain 2 or more of these 13 compounds. Of these 125 herbs, 26 are classically catalogued as treating viral respiratory infections. Network pharmacology analysis predicted that the general in vivo roles of these 26 herbal plants were related to regulating viral infection, immune/inflammation reactions and hypoxia response.  CONCLUSION: Chinese herbal treatments classically used for treating viral respiratory infection might contain direct anti-2019-nCoV compounds.  ","03 2020","Journal of integrative medicine","32113846","kearneh","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,"Immunology",,,,,,,,,,,,,,,,,,,,,"High quality experimental studies (RCTs)",,,,"Reports of interventions/treatments",,,,"Yes",
"1196","DH Zhang, KL Wu, X Zhang, SQ Deng, B Peng","In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus.","OBJECTIVE: In this study we execute a rational screen to identify Chinese medical herbs that are commonly used in treating viral respiratory infections and also contain compounds that might directly inhibit 2019 novel coronavirus (2019-nCoV), an ongoing novel coronavirus that causes pneumonia.  METHODS: There were two main steps in the screening process. In the first step we conducted a literature search for natural compounds that had been biologically confirmed as against sever acute respiratory syndrome coronavirus or Middle East respiratory syndrome coronavirus. Resulting compounds were cross-checked for listing in the Traditional Chinese Medicine Systems Pharmacology Database. Compounds meeting both requirements were subjected to absorption, distribution, metabolism and excretion (ADME) evaluation to verify that oral administration would be effective. Next, a docking analysis was used to test whether the compound had the potential for direct 2019-nCoV protein interaction. In the second step we searched Chinese herbal databases to identify plants containing the selected compounds. Plants containing 2 or more of the compounds identified in our screen were then checked against the catalogue for classic herbal usage. Finally, network pharmacology analysis was used to predict the general in vivo effects of each selected herb.  RESULTS: Of the natural compounds screened, 13 that exist in traditional Chinese medicines were also found to have potential anti-2019-nCoV activity. Further, 125 Chinese herbs were found to contain 2 or more of these 13 compounds. Of these 125 herbs, 26 are classically catalogued as treating viral respiratory infections. Network pharmacology analysis predicted that the general in vivo roles of these 26 herbal plants were related to regulating viral infection, immune/inflammation reactions and hypoxia response.  CONCLUSION: Chinese herbal treatments classically used for treating viral respiratory infection might contain direct anti-2019-nCoV compounds.  ","03 2020","Journal of integrative medicine","32113846","Meghanglibbery","1","Yes","Systematic Review",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"1213","X Fu, Q Ying, T Zeng, T Long, Y Wang","Simulating and forecasting the cumulative confirmed cases of SARS-CoV-2 in china by Boltzmann function-based regression analyses.",,"Feb 2020","The Journal of infection","32112887","Daniellevin","1","Yes","Statistical modelling/analytical study",,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,,,,,,"Statistical modelling/analytical studies","Yes",
"1213","X Fu, Q Ying, T Zeng, T Long, Y Wang","Simulating and forecasting the cumulative confirmed cases of SARS-CoV-2 in china by Boltzmann function-based regression analyses.",,"Feb 2020","The Journal of infection","32112887","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,"Public Health",,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"1215","W Yang, Q Cao, L Qin, X Wang, Z Cheng, A Pan, J Dai, Q Sun, F Zhao, J Qu, F Yan","Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19):A multi-center study in Wenzhou city, Zhejiang, China.","BACKGROUND: Little is known about COVID-19 outside Hubei. The aim of this paper was to describe the clinical characteristics and imaging manifestations of hospitalized patients with confirmed COVID-19 infection in Wenzhou, Zhejiang, China.  METHODS: In this retrospective cohort study, 149 RT-PCR confirmed positive patients were consecutively enrolled from January 17th to February 10th, 2020 in three tertiary hospitals of Wenzhou. Outcomes were followed up until Feb 15th, 2020.  FINDINGS: A total of 85 patients had Hubei travel/residence history, while another 49 had contact with people from Hubei and 15 had no traceable exposure history to Hubei. Fever, cough and expectoration were the most common symptoms, 14 patients had decreased oxygen saturation, 33 had leukopenia, 53 had lymphopenia, and 82 had elevated C-reactive protein. On chest computed tomography (CT), lung segments 6 and 10 were mostly involved. A total of 287 segments presented ground glass opacity, 637 presented mixed opacity and 170 presented consolidation. Lesions were more localized in the peripheral lung with a patchy form. No significant difference was found between patients with or without Hubei exposure history. Seventeen patients had normal CT on admission of these, 12 had negative findings even10 days later.  INTERPRETATION: Most patients presented with a mild infection in our study. The imaging pattern of multifocal peripheral ground glass or mixed opacity with predominance in the lower lung is highly suspicious of COVID-19 in the first week of disease onset. Nevetheless, some patients can present with a normal chest finding despite testing positive for COVID-19.  FUNDING: We did not receive any fundings.  ","04 2020","The Journal of infection","32112884","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,"Case report",,,"Imaging studies",,,"Yes",
"1215","W Yang, Q Cao, L Qin, X Wang, Z Cheng, A Pan, J Dai, Q Sun, F Zhao, J Qu, F Yan","Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19):A multi-center study in Wenzhou city, Zhejiang, China.","BACKGROUND: Little is known about COVID-19 outside Hubei. The aim of this paper was to describe the clinical characteristics and imaging manifestations of hospitalized patients with confirmed COVID-19 infection in Wenzhou, Zhejiang, China.  METHODS: In this retrospective cohort study, 149 RT-PCR confirmed positive patients were consecutively enrolled from January 17th to February 10th, 2020 in three tertiary hospitals of Wenzhou. Outcomes were followed up until Feb 15th, 2020.  FINDINGS: A total of 85 patients had Hubei travel/residence history, while another 49 had contact with people from Hubei and 15 had no traceable exposure history to Hubei. Fever, cough and expectoration were the most common symptoms, 14 patients had decreased oxygen saturation, 33 had leukopenia, 53 had lymphopenia, and 82 had elevated C-reactive protein. On chest computed tomography (CT), lung segments 6 and 10 were mostly involved. A total of 287 segments presented ground glass opacity, 637 presented mixed opacity and 170 presented consolidation. Lesions were more localized in the peripheral lung with a patchy form. No significant difference was found between patients with or without Hubei exposure history. Seventeen patients had normal CT on admission of these, 12 had negative findings even10 days later.  INTERPRETATION: Most patients presented with a mild infection in our study. The imaging pattern of multifocal peripheral ground glass or mixed opacity with predominance in the lower lung is highly suspicious of COVID-19 in the first week of disease onset. Nevetheless, some patients can present with a normal chest finding despite testing positive for COVID-19.  FUNDING: We did not receive any fundings.  ","04 2020","The Journal of infection","32112884","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,"Yes",
"1218","SK Brooks, RK Webster, LE Smith, L Woodland, S Wessely, N Greenberg, GJ Rubin","The psychological impact of quarantine and how to reduce it: rapid review of the evidence.","The December, 2019 coronavirus disease outbreak has seen many countries ask people who have potentially come into contact with the infection to isolate themselves at home or in a dedicated quarantine facility. Decisions on how to apply quarantine should be based on the best available evidence. We did a Review of the psychological impact of quarantine using three electronic databases. Of 3166 papers found, 24 are included in this Review. Most reviewed studies reported negative psychological effects including post-traumatic stress symptoms, confusion, and anger. Stressors included longer quarantine duration, infection fears, frustration, boredom, inadequate supplies, inadequate information, financial loss, and stigma. Some researchers have suggested long-lasting effects. In situations where quarantine is deemed necessary, officials should quarantine individuals for no longer than required, provide clear rationale for quarantine and information about protocols, and ensure sufficient supplies are provided. Appeals to altruism by reminding the public about the benefits of quarantine to wider society can be favourable.  ","03 2020","Lancet (London, England)","32112714","kearneh","1","Yes","Systematic Review",,,,,"Family Medicine",,,"General",,,,,"Internal Medicine",,,,,,,,,,,"Public Health","Psych",,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
