Refid,Author,Title,Date,Journal,PMID,User,Level,Were you able to find the article? ,Type of Study,Sample Size,Sample Size is >5 (Case Reports ONLY) ,Speciality Bucket -> Anesthesia,Speciality Bucket -> Cardiology,Speciality Bucket -> Emergency Medicine,Speciality Bucket -> Family Medicine,Speciality Bucket -> Gastroenterology,Speciality Bucket -> General,Speciality Bucket -> Immunology,Speciality Bucket -> Internal Medicine,Speciality Bucket -> ICU,Speciality Bucket -> Medical Education,Speciality Bucket -> OBGYN,Speciality Bucket -> Oncology,Speciality Bucket -> Peds,Speciality Bucket -> Psych,Speciality Bucket -> Respirology,Speciality Bucket -> Rheumatology,Speciality Bucket -> Radiology,Speciality Bucket -> Other,Speciality Bucket -> Other (COMMENT),Type Bucket -> Evidence-based guidance documents and guidelines,Type Bucket -> High quality descriptive studies,Type Bucket -> Natural history studies,Type Bucket -> Case report,Type Bucket -> Reports of interventions/treatments,Type Bucket -> Imaging studies,Type Bucket -> Letter to the Editor/Opinion,Type Bucket -> Not in English,Type Bucket -> Other,Type Bucket -> Other (COMMENT),Should this reference be included in the next stage? 
816,"W Liu, Q Zhang, J Chen, R Xiang, H Song, S Shu, L Chen, L Liang, J Zhou, L You, P Wu, B Zhang, Y Lu, L Xia, L Huang, Y Yang, F Liu, MG Semple, BJ Cowling, K Lan, Z Sun, H Yu, Y Liu","Detection of Covid-19 in Children in Early January 2020 in Wuhan, China.",20-Mar,The New England journal of medicine,32163697,jasper.ho,1,Yes,Cohort Studies,,N/A - pick if not case report,,,,,,,,,,,,,Peds,,,,,,,,High quality descriptive studies,,,,,Letter to the Editor/Opinion,,,,Yes
825,"LQ Li, T Huang, YQ Wang, ZP Wang, Y Liang, TB Huang, HY Zhang, W Sun, Y Wang","2019 novel coronavirus patients' clinical characteristics, discharge rate, and fatality rate of meta-analysis.",20-Mar,Journal of medical virology,32162702,becky.jones,1,Yes,Case Series/Report,1994,Yes,,,,,,General,,,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
825,"LQ Li, T Huang, YQ Wang, ZP Wang, Y Liang, TB Huang, HY Zhang, W Sun, Y Wang","2019 novel coronavirus patients' clinical characteristics, discharge rate, and fatality rate of meta-analysis.",20-Mar,Journal of medical virology,32162702,jasper.ho,1,Yes,Meta Analysis,,N/A - pick if not case report,,,,,,General,,Internal Medicine,,,,,,,,,,Other,Infectious diseases,,High quality descriptive studies,,,,,,,,,Yes
826,"Q Chen, B Quan, X Li, G Gao, W Zheng, J Zhang, Z Zhang, C Liu, L Li, C Wang, G Zhang, J Li, Y Dai, J Yang, W Han",A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019.,20-Mar,Journal of medical virology,32162699,becky.jones,1,Yes,Case Series/Report,9,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
826,"Q Chen, B Quan, X Li, G Gao, W Zheng, J Zhang, Z Zhang, C Liu, L Li, C Wang, G Zhang, J Li, Y Dai, J Yang, W Han",A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019.,20-Mar,Journal of medical virology,32162699,jasper.ho,1,Yes,Case Series/Report,9,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,Reports of interventions/treatments,,,,,,Yes
834,"J Zeng, J Huang, L Pan",How to balance acute myocardial infarction and COVID-19: the protocols from Sichuan Provincial People's Hospital.,20-Mar,Intensive care medicine,32162032,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,Cardiology,Emergency Medicine,,,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
834,"J Zeng, J Huang, L Pan",How to balance acute myocardial infarction and COVID-19: the protocols from Sichuan Provincial People's Hospital.,20-Mar,Intensive care medicine,32162032,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,Cardiology,Emergency Medicine,,,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
835,"B Li, J Yang, F Zhao, L Zhi, X Wang, L Liu, Z Bi, Y Zhao",Prevalence and impact of cardiovascular metabolic diseases on COVID-19 in China.,20-Mar,Clinical research in cardiology : official journal of the German Cardiac Society,32161990,becky.jones,1,Yes,Systematic Review,1527,N/A - pick if not case report,,Cardiology,,,,,,Internal Medicine,,,,,,,,,,,,,High quality descriptive studies,Natural history studies,,,,,,,,Yes
835,"B Li, J Yang, F Zhao, L Zhi, X Wang, L Liu, Z Bi, Y Zhao",Prevalence and impact of cardiovascular metabolic diseases on COVID-19 in China.,20-Mar,Clinical research in cardiology : official journal of the German Cardiac Society,32161990,Daniellevin,1,Yes,Systematic Review,1527,,,Cardiology,,,,,,,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
836,"D Zhao, F Yao, L Wang, L Zheng, Y Gao, J Ye, F Guo, H Zhao, R Gao",A comparative study on the clinical features of COVID-19 pneumonia to other pneumonias.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32161968,becky.jones,1,Yes,Cohort Studies,,,,,,,,,,Internal Medicine,,,,,,,Respirology,,,,,,High quality descriptive studies,,,,,,,,,Yes
836,"D Zhao, F Yao, L Wang, L Zheng, Y Gao, J Ye, F Guo, H Zhao, R Gao",A comparative study on the clinical features of COVID-19 pneumonia to other pneumonias.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32161968,jasper.ho,1,Yes,Case Control Studies,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,,Radiology,,,,High quality descriptive studies,,,,Imaging studies,,,,,Yes
838,"C Qin, L Zhou, Z Hu, S Zhang, S Yang, Y Tao, C Xie, K Ma, K Shang, W Wang, DS Tian","Dysregulation of immune response in patients with COVID-19 in Wuhan, China.",20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32161940,becky.jones,1,Yes,Case Series/Report,452,Yes,,,,,,,Immunology,Internal Medicine,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
838,"C Qin, L Zhou, Z Hu, S Zhang, S Yang, Y Tao, C Xie, K Ma, K Shang, W Wang, DS Tian","Dysregulation of immune response in patients with COVID-19 in Wuhan, China.",20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32161940,jasper.ho,1,Yes,Cohort Studies,,N/A - pick if not case report,,,,,,,Immunology,Internal Medicine,,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
853,"LC Poon, H Yang, JCS Lee, JA Copel, TY Leung, Y Zhang, D Chen, F Prefumo",ISUOG Interim Guidance on 2019 novel coronavirus infection during pregnancy and puerperium: information for healthcare professionals.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32160345,becky.jones,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,OBGYN,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
853,"LC Poon, H Yang, JCS Lee, JA Copel, TY Leung, Y Zhang, D Chen, F Prefumo",ISUOG Interim Guidance on 2019 novel coronavirus infection during pregnancy and puerperium: information for healthcare professionals.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32160345,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,OBGYN,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
860,"W Wang, Y Xu, R Gao, R Lu, K Han, G Wu, W Tan",Detection of SARS-CoV-2 in Different Types of Clinical Specimens.,20-Mar,JAMA,32159775,becky.jones,1,Yes,Cohort Studies,,,,,,,,General,Immunology,,,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
860,"W Wang, Y Xu, R Gao, R Lu, K Han, G Wu, W Tan",Detection of SARS-CoV-2 in Different Types of Clinical Specimens.,20-Mar,JAMA,32159775,jasper.ho,1,Yes,Cohort Studies,,,,,,,,General,,,,,,,,,,,,,,,High quality descriptive studies,,,,,,,,,Yes
861,"S Murthy, CD Gomersall, RA Fowler",Care for Critically Ill Patients With COVID-19.,20-Mar,JAMA,32159735,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,Internal Medicine,ICU,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
861,"S Murthy, CD Gomersall, RA Fowler",Care for Critically Ill Patients With COVID-19.,20-Mar,JAMA,32159735,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,Emergency Medicine,,,,,Internal Medicine,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
871,"C Conforti, R Giuffrida, C Dianzani, N Di Meo, I Zalaudek",COVID-19 and psoriasis: Is it time to limit treatment with immunosuppressants? A call for action.,20-Mar,Dermatologic therapy,32157783,becky.jones,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,Rheumatology,,Other,Derm,,,,,,,Letter to the Editor/Opinion,,,,Yes
871,"C Conforti, R Giuffrida, C Dianzani, N Di Meo, I Zalaudek",COVID-19 and psoriasis: Is it time to limit treatment with immunosuppressants? A call for action.,20-Mar,Dermatologic therapy,32157783,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,Other,Dermatology,,,,,,,Letter to the Editor/Opinion,,,,Yes
879,"T Lupia, S Scabini, S Mornese Pinna, G Di Perri, FG De Rosa, S Corcione",2019 novel coronavirus (2019-nCoV) outbreak: A new challenge.,20-Mar,Journal of global antimicrobial resistance,32156648,Daniellevin,1,Yes,Systematic Review,,,,,,,,General,,,,,,,,,Respirology,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
879,"T Lupia, S Scabini, S Mornese Pinna, G Di Perri, FG De Rosa, S Corcione",2019 novel coronavirus (2019-nCoV) outbreak: A new challenge.,20-Mar,Journal of global antimicrobial resistance,32156648,Meghanglibbery,1,Yes,Systematic Review,,,,,,,,General,,,ICU,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
880,"R Liu, H Han, F Liu, Z Lv, K Wu, Y Liu, Y Feng, C Zhu","Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020.",20-Mar,Clinica chimica acta; international journal of clinical chemistry,32156607,Daniellevin,1,Yes,Case Series/Report,4880,Yes,,,,,,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,High quality descriptive studies,,,,,,,,,Yes
880,"R Liu, H Han, F Liu, Z Lv, K Wu, Y Liu, Y Feng, C Zhu","Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020.",20-Mar,Clinica chimica acta; international journal of clinical chemistry,32156607,Meghanglibbery,1,Yes,Cohort Studies,4880,,,,,,,General,,,,,,,,,,,,,,,,Natural history studies,,,,,,Other,Epidemiology,Yes
885,"G Spiteri, J Fielding, M Diercke, C Campese, V Enouf, A Gaymard, A Bella, P Sognamiglio, MJ Sierra Moros, AN Riutort, YV Demina, R Mahieu, M Broas, M Bengnér, S Buda, J Schilling, L Filleul, A Lepoutre, C Saura, A Mailles, D Levy-Bruhl, B Coignard, S Bernard-Stoecklin, S Behillil, S van der Werf, M Valette, B Lina, F Riccardo, E Nicastri, I Casas, A Larrauri, M Salom Castell, F Pozo, RA Maksyutov, C Martin, M Van Ranst, N Bossuyt, L Siira, J Sane, K Tegmark-Wisell, M Palmérus, EK Broberg, J Beauté, P Jorgensen, N Bundle, D Pereyaslov, C Adlhoch, J Pukkila, R Pebody, S Olsen, BC Ciancio","First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020.",03 2020,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,32156327,Daniellevin,1,Yes,Case Series/Report,47,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
885,"G Spiteri, J Fielding, M Diercke, C Campese, V Enouf, A Gaymard, A Bella, P Sognamiglio, MJ Sierra Moros, AN Riutort, YV Demina, R Mahieu, M Broas, M Bengnér, S Buda, J Schilling, L Filleul, A Lepoutre, C Saura, A Mailles, D Levy-Bruhl, B Coignard, S Bernard-Stoecklin, S Behillil, S van der Werf, M Valette, B Lina, F Riccardo, E Nicastri, I Casas, A Larrauri, M Salom Castell, F Pozo, RA Maksyutov, C Martin, M Van Ranst, N Bossuyt, L Siira, J Sane, K Tegmark-Wisell, M Palmérus, EK Broberg, J Beauté, P Jorgensen, N Bundle, D Pereyaslov, C Adlhoch, J Pukkila, R Pebody, S Olsen, BC Ciancio","First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020.",03 2020,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,32156327,Meghanglibbery,1,Yes,Case Series/Report,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,Other,Epidemiology,Yes
887,"W Li, Q Zhou, Y Tang, L Ren, X Yu, Q Li, E Liu, Y Chen,  ","Protocol for the development of a rapid advice guideline for prevention, management and care of children with 2019 novel coronavirus infection.",20-Feb,Annals of palliative medicine,32156144,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
887,"W Li, Q Zhou, Y Tang, L Ren, X Yu, Q Li, E Liu, Y Chen,  ","Protocol for the development of a rapid advice guideline for prevention, management and care of children with 2019 novel coronavirus infection.",20-Feb,Annals of palliative medicine,32156144,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
889,"C Wang, R Pan, X Wan, Y Tan, L Xu, CS Ho, RC Ho",Immediate Psychological Responses and Associated Factors during the Initial Stage of the 2019 Coronavirus Disease (COVID-19) Epidemic among the General Population in China.,03 2020,International journal of environmental research and public health,32155789,Daniellevin,1,Yes,Survey,1210,Yes,,,,,,,,,,,,,,Psych,,,,,,,High quality descriptive studies,,,,,,,,,Yes
889,"C Wang, R Pan, X Wan, Y Tan, L Xu, CS Ho, RC Ho",Immediate Psychological Responses and Associated Factors during the Initial Stage of the 2019 Coronavirus Disease (COVID-19) Epidemic among the General Population in China.,03 2020,International journal of environmental research and public health,32155789,Meghanglibbery,1,Yes,Survey,,,,,,,,General,,,,,,,,,,,,,,,,,,,,,,Other,Public Health,Yes
894,"HX Bai, B Hsieh, Z Xiong, K Halsey, JW Choi, TML Tran, I Pan, LB Shi, DC Wang, J Mei, XL Jiang, QH Zeng, TK Egglin, PF Hu, S Agarwal, F Xie, S Li, T Healey, MK Atalay, WH Liao",Performance of radiologists in differentiating COVID-19 from viral pneumonia on chest CT.,20-Mar,Radiology,32155105,Daniellevin,1,Yes,Randomized Control Trial,263,Yes,,,,,,,,,,,,,,,,,Radiology,,,Evidence-based guidance documents and guidelines,,,,Reports of interventions/treatments,,,,,,Yes
894,"HX Bai, B Hsieh, Z Xiong, K Halsey, JW Choi, TML Tran, I Pan, LB Shi, DC Wang, J Mei, XL Jiang, QH Zeng, TK Egglin, PF Hu, S Agarwal, F Xie, S Li, T Healey, MK Atalay, WH Liao",Performance of radiologists in differentiating COVID-19 from viral pneumonia on chest CT.,20-Mar,Radiology,32155105,Meghanglibbery,1,Yes,Cohort Studies,424,,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
898,"L Wang, Y Shi, T Xiao, J Fu, X Feng, D Mu, Q Feng, M Hei, X Hu, Z Li, G Lu, Z Tang, Y Wang, C Wang, S Xia, J Xu, Y Yang, J Yang, M Zeng, J Zheng, W Zhou, X Zhou, X Zhou, L Du, SK Lee, W Zhou,  ",Chinese expert consensus on the perinatal and neonatal management for the prevention and control of the 2019 novel coronavirus infection (First edition).,20-Feb,Annals of translational medicine,32154287,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
898,"L Wang, Y Shi, T Xiao, J Fu, X Feng, D Mu, Q Feng, M Hei, X Hu, Z Li, G Lu, Z Tang, Y Wang, C Wang, S Xia, J Xu, Y Yang, J Yang, M Zeng, J Zheng, W Zhou, X Zhou, X Zhou, L Du, SK Lee, W Zhou,  ",Chinese expert consensus on the perinatal and neonatal management for the prevention and control of the 2019 novel coronavirus infection (First edition).,20-Feb,Annals of translational medicine,32154287,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
899,"H Zhu, L Wang, C Fang, S Peng, L Zhang, G Chang, S Xia, W Zhou",Clinical analysis of 10 neonates born to mothers with 2019-nCoV pneumonia.,20-Feb,Translational pediatrics,32154135,Daniellevin,1,Yes,Case Series/Report,10,Yes,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
899,"H Zhu, L Wang, C Fang, S Peng, L Zhang, G Chang, S Xia, W Zhou",Clinical analysis of 10 neonates born to mothers with 2019-nCoV pneumonia.,20-Feb,Translational pediatrics,32154135,Meghanglibbery,1,Yes,Case Series/Report,10,,,,,,,,,,,,,,Peds,,,,,,,,,,Case report,,,,,,,Yes
901,",  ",[Medical management and prevention instruction of chronic obstructive pulmonary disease during the coronavirus disease 2019 epidemic].,20-Mar,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,32153171,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,Respirology,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
901,",  ",[Medical management and prevention instruction of chronic obstructive pulmonary disease during the coronavirus disease 2019 epidemic].,20-Mar,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,32153171,Meghanglibbery,1,Yes,,,,,,,,,General,,,,,,,,,,,,,,,,,,,,,Not in English,,,Yes
902,"N Yao, SN Wang, JQ Lian, YT Sun, GF Zhang, WZ Kang, W Kang",[Clinical characteristics and influencing factors of patients with novel coronavirus pneumonia combined with liver injury in Shaanxi region].,20-Mar,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,32153170,Daniellevin,1,Yes,Case Series/Report,40,Yes,,,,,Gastroenterology,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
902,"N Yao, SN Wang, JQ Lian, YT Sun, GF Zhang, WZ Kang, W Kang",[Clinical characteristics and influencing factors of patients with novel coronavirus pneumonia combined with liver injury in Shaanxi region].,20-Mar,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,32153170,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,,Not in English,,,Yes
906,"YG Song, HS Shin","COVID-19, A Clinical Syndrome Manifesting as Hypersensitivity Pneumonitis.",03 2020,Infection & chemotherapy,32153144,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,Respirology,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
906,"YG Song, HS Shin","COVID-19, A Clinical Syndrome Manifesting as Hypersensitivity Pneumonitis.",03 2020,Infection & chemotherapy,32153144,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
909,MA Martinez,Compounds with therapeutic potential against novel respiratory 2019 coronavirus.,20-Mar,Antimicrobial agents and chemotherapy,32152082,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,Letter to the Editor/Opinion,,,,Yes
909,MA Martinez,Compounds with therapeutic potential against novel respiratory 2019 coronavirus.,20-Mar,Antimicrobial agents and chemotherapy,32152082,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,ICU,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
916,"H Chen, J Guo, C Wang, F Luo, X Yu, W Zhang, J Li, D Zhao, D Xu, Q Gong, J Liao, H Yang, W Hou, Y Zhang",Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records.,03 2020,"Lancet (London, England)",32151335,Daniellevin,1,Yes,Case Series/Report,9,Yes,,,,,,,,,,,OBGYN,,,,,,,,,,,,Case report,,,,,,,Yes
916,"H Chen, J Guo, C Wang, F Luo, X Yu, W Zhang, J Li, D Zhao, D Xu, Q Gong, J Liao, H Yang, W Hou, Y Zhang",Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records.,03 2020,"Lancet (London, England)",32151335,Meghanglibbery,1,Yes,Case Series/Report,9,Yes,,,,,,,,,,,OBGYN,,,,,,,,,,,Natural history studies,,,,,,,,Yes
917,J Qiao,What are the risks of COVID-19 infection in pregnant women?,03 2020,"Lancet (London, England)",32151334,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,OBGYN,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
917,J Qiao,What are the risks of COVID-19 infection in pregnant women?,03 2020,"Lancet (London, England)",32151334,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,OBGYN,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
919,"C Wenham, J Smith, R Morgan,  ",COVID-19: the gendered impacts of the outbreak.,03 2020,"Lancet (London, England)",32151325,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
919,"C Wenham, J Smith, R Morgan,  ",COVID-19: the gendered impacts of the outbreak.,03 2020,"Lancet (London, England)",32151325,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
921,D De Luca,Managing neonates with respiratory failure due to SARS-CoV-2.,04 2020,The Lancet. Child & adolescent health,32151320,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
921,D De Luca,Managing neonates with respiratory failure due to SARS-CoV-2.,04 2020,The Lancet. Child & adolescent health,32151320,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,,,Natural history studies,,,,,,,,Yes
922,"J Wang, Y Shi",Managing neonates with respiratory failure due to SARS-CoV-2 - Authors' reply.,04 2020,The Lancet. Child & adolescent health,32151318,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
922,"J Wang, Y Shi",Managing neonates with respiratory failure due to SARS-CoV-2 - Authors' reply.,04 2020,The Lancet. Child & adolescent health,32151318,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,Peds,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
925,"M Cascella, M Rajnik, A Cuomo, SC Dulebohn, R Di Napoli","Features, Evaluation and Treatment Coronavirus (COVID-19)",01 2020,StatPearls,32150360,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
925,"M Cascella, M Rajnik, A Cuomo, SC Dulebohn, R Di Napoli","Features, Evaluation and Treatment Coronavirus (COVID-19)",01 2020,StatPearls,32150360,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
927,"SA Lauer, KH Grantz, Q Bi, FK Jones, Q Zheng, HR Meredith, AS Azman, NG Reich, J Lessler",The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application.,20-Mar,Annals of internal medicine,32150748,Daniellevin,1,Yes,Case Series/Report,181,Yes,,,,,,,,,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
927,"SA Lauer, KH Grantz, Q Bi, FK Jones, Q Zheng, HR Meredith, AS Azman, NG Reich, J Lessler",The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application.,20-Mar,Annals of internal medicine,32150748,Meghanglibbery,1,Yes,Cohort Studies,181,,,,,,,General,,,,,,,,,,,,Other,Public Health,,,Natural history studies,,,,,,Other,Epidemiology,Yes
941,,Early Epidemiological and Clinical Characteristics of 28 Cases of Coronavirus Disease in South Korea.,20-Feb,Osong public health and research perspectives,32149037,Daniellevin,1,Yes,Case Series/Report,28,Yes,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
941,,Early Epidemiological and Clinical Characteristics of 28 Cases of Coronavirus Disease in South Korea.,20-Feb,Osong public health and research perspectives,32149037,Meghanglibbery,1,Yes,Case Series/Report,28,,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
945,S Lu,Timely development of vaccines against SARS-CoV-2.,2020,Emerging microbes & infections,32148172,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,Immunology,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
945,S Lu,Timely development of vaccines against SARS-CoV-2.,2020,Emerging microbes & infections,32148172,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,Immunology,,,,,,,,,,,Other,Public Health,,,,,,,,,Other,Public Health,Yes
946,"X Marchand-Senécal, R Kozak, S Mubareka, N Salt, JB Gubbay, A Eshaghi, V Allen, Y Li, N Bastien, M Gilmour, O Ozaldin, JA Leis",Diagnosis and Management of First Case of COVID-19 in Canada: Lessons applied from SARS.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32147731,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,Emergency Medicine,Family Medicine,,General,,,,,,,,,,,,,,,,Natural history studies,,Reports of interventions/treatments,,,,,,Yes
946,"X Marchand-Senécal, R Kozak, S Mubareka, N Salt, JB Gubbay, A Eshaghi, V Allen, Y Li, N Bastien, M Gilmour, O Ozaldin, JA Leis",Diagnosis and Management of First Case of COVID-19 in Canada: Lessons applied from SARS.,20-Mar,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,32147731,Meghanglibbery,1,Yes,Case Series/Report,1,No,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
948,"L Dong, S Hu, J Gao",Discovering drugs to treat coronavirus disease 2019 (COVID-19).,2020,Drug discoveries & therapeutics,32147628,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,ICU,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
948,"L Dong, S Hu, J Gao",Discovering drugs to treat coronavirus disease 2019 (COVID-19).,2020,Drug discoveries & therapeutics,32147628,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,Immunology,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
951,"WC Ko, JM Rolain, NY Lee, PL Chen, CT Huang, PI Lee, PR Hsueh",Arguments in favour of remdesivir for treating SARS-CoV-2 infections.,20-Mar,International journal of antimicrobial agents,32147516,Daniellevin,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
